Fx,Fy,Fz,Tx,Ty,Tz,Interval,Failure
-1,1,66,-12,-5,0,12,normal
0,0,60,-10,-5,0,10,normal
-8,7,-216,-249,37,3,14,obstruction
-1,1,61,-10,-6,-1,10,collision
-1,-1,50,-7,-2,-1,13,normal
-9,2,39,-20,-22,5,8,fr_collision
5,10,37,-31,14,0,3,fr_collision
-14,-9,-24,80,-19,-11,5,fr_collision
5,27,-242,102,155,18,8,obstruction
-1,3,58,-12,-2,1,5,collision
13,7,25,-36,7,-5,11,fr_collision
-8,2,46,-17,-22,5,6,fr_collision
-2,3,54,-12,-6,0,3,normal
-4,8,60,-20,-9,-1,11,obstruction
1,1,60,-3,2,-2,14,collision
-2,1,56,-6,-3,0,3,normal
-24,81,-481,-284,-148,-8,15,obstruction
-25,8,93,-46,25,-5,2,collision
2,-8,55,-1,-4,-2,10,collision
6,1,56,-5,7,7,4,collision
1,2,66,-10,1,-1,12,normal
0,2,63,-12,-2,1,15,normal
31,23,-368,-48,68,4,2,obstruction
-246,205,-1334,293,-48,-57,2,obstruction
0,0,57,-9,-4,0,14,normal
0,-2,60,-6,0,0,4,normal
-2,3,-67,93,45,22,5,obstruction
-32,30,-66,-173,-120,8,12,fr_collision
0,-2,70,-7,-5,0,11,normal
-80,-63,-987,-286,57,20,2,obstruction
-7,32,52,-50,-12,-1,4,obstruction
-1,1,60,-8,-5,-1,10,normal
0,2,55,-10,3,0,5,collision
11,44,57,-64,15,-1,3,collision
-35,16,-644,363,167,-1,6,obstruction
2,4,29,-43,-18,1,11,fr_collision
14,15,-35,-38,35,1,3,fr_collision
-133,-34,18,21,131,-41,1,collision
2,-6,59,-3,-2,-1,11,collision
8,-10,64,10,9,1,6,collision
2,2,-20,58,33,9,14,obstruction
-1,2,57,-13,-6,-1,12,obstruction
4,0,40,-23,-5,0,7,fr_collision
21,15,-14,-46,16,-7,1,obstruction
-1,-3,64,-4,-6,0,13,normal
12,9,31,-37,4,-5,10,fr_collision
-243,187,-1241,306,-112,-78,12,obstruction
-1,-1,63,-5,-1,0,6,normal
3,3,32,-22,-2,-1,5,fr_collision
18,9,-95,-140,-29,-16,3,obstruction
-2,0,58,3,-5,0,2,fr_collision
-2,1,59,-8,-6,0,9,normal
4,6,50,-25,1,0,1,fr_collision
0,-3,61,-1,2,0,2,normal
-22,20,-28,-126,-85,3,8,fr_collision
-2,-4,64,-1,-7,0,10,collision
-22,69,-399,66,138,16,14,obstruction
-71,55,-273,-368,-271,42,2,obstruction
2,-9,65,3,-2,-1,6,collision
45,-353,-1267,-6,-404,97,10,obstruction
15,-14,55,24,11,2,3,collision
12,17,-98,-167,-47,-14,8,obstruction
-1,1,65,-10,-6,-1,3,normal
5,3,22,7,30,4,8,fr_collision
1,-1,69,-8,0,0,12,normal
7,8,-4,14,50,8,10,fr_collision
-15,68,-291,63,110,23,9,obstruction
-4,0,60,-8,-9,-1,12,obstruction
45,32,-606,-62,97,6,6,obstruction
50,37,-336,-403,-42,-59,9,obstruction
0,0,58,-8,-3,-2,2,normal
-14,59,-235,-204,-66,-6,9,fr_collision
-2,-1,64,-9,-6,1,4,normal
0,-2,54,-11,-5,0,15,collision
3,5,-2,-54,-25,-1,6,obstruction
0,-3,57,-5,1,0,15,normal
-1,-2,56,-5,-3,0,2,normal
1,0,42,-15,-6,-1,3,fr_collision
-1,-1,63,-3,-1,0,2,normal
-1,1,58,-11,-4,-1,4,normal
-1,2,58,-8,-4,0,10,normal
-20,20,-23,-122,-79,7,7,fr_collision
0,-2,38,-19,0,0,13,obstruction
0,7,-683,-144,-52,-14,12,obstruction
5,6,-101,112,47,7,7,obstruction
-1,1,54,-12,-5,-1,13,obstruction
5,23,157,-186,179,2,1,collision
-247,203,-1302,291,-60,-61,3,obstruction
-2,5,53,-20,-7,-1,10,normal
-4,3,37,0,-2,1,2,fr_collision
-249,181,-1238,276,-89,-59,13,obstruction
-89,66,-408,-471,-342,51,4,obstruction
-7,9,9,3,-2,1,13,fr_collision
52,25,-877,-117,-530,-17,5,obstruction
0,2,67,-11,-3,0,1,normal
-4,6,63,-15,-7,-1,7,collision
0,0,50,-11,-7,0,1,fr_collision
0,3,61,-15,-3,-1,13,normal
16,19,-160,-43,39,3,14,fr_collision
-1,0,67,-10,-7,-1,12,normal
3,4,65,-8,6,1,8,collision
-118,-78,-1113,-527,-600,101,14,obstruction
0,-11,52,12,-13,0,5,collision
2,47,-264,129,94,14,13,obstruction
11,16,-97,-165,-47,-16,9,obstruction
6,-4,57,-1,4,0,8,collision
0,0,59,-11,-3,0,11,obstruction
0,2,64,-5,1,0,7,normal
-1,1,56,-10,-3,0,11,normal
-1,-1,54,-11,-3,0,14,normal
-2,-1,57,-7,-9,-1,12,obstruction
3,9,66,-5,-3,-2,4,collision
